title,director,genre,plot
Pulp Fiction,Quentin Tarantino,Crime,"The lives of two mob hitmen, a boxer, a gangster and his wife, and a pair of diner bandits intertwine in a series of bizarre and violent incidents in Los Angeles."
Kill Bill: Vol. 1,Quentin Tarantino,Action,A former assassin known as the Bride awakens from a four-year coma after her jealous ex-boss and colleagues massacre her wedding party. She embarks on a ruthless campaign of revenge.
Kill Bill: Vol. 2,Quentin Tarantino,Action,"The Bride continues her quest of vengeance against her former boss Bill and his remaining subordinates, leading to an emotional and deadly martial arts showdown."
Inglourious Basterds,Quentin Tarantino,War,"In Nazi-occupied France during World War II, a squad of Jewish-American soldiers plans a strike against the Third Reich leadership inside a Parisian cinema execution venue."
Django Unchained,Quentin Tarantino,Western,"A German bounty hunter frees a slave named Django to help him track down criminals. In exchange, they execute a high-stakes mission to rescue Django's wife from a brutal Mississippi plantation owner."
Reservoir Dogs,Quentin Tarantino,Crime,"After a simple jewelry store heist goes terribly wrong, a group of criminals suspect that one of them is a hidden police informant inside their warehouse hideout."
The Hateful Eight,Quentin Tarantino,Mystery,"In the dead of a Wyoming winter, a bounty hunter and his prisoner find shelter in a cabin inhabited by a collection of nefarious characters, sparking paranoia and violence."
Once Upon a Time in Hollywood,Quentin Tarantino,Drama,A faded television actor and his stunt double strive to achieve fame and success in the final years of Hollywood's Golden Age in 1969 Los Angeles.
Jackie Brown,Quentin Tarantino,Crime,A flight attendant with a criminal past gets caught smuggling money for an arms dealer and must outsmart both the feds and the gangsters to survive.
Death Proof,Quentin Tarantino,Thriller,"A scarred stuntman uses his death-proof car to execute elaborate, homicidal vehicular ambushes against unsuspecting young women."
Inception,Christopher Nolan,Sci-Fi,A skilled thief who steals corporate secrets through dream-sharing technology is given the inverse task of planting an idea into the mind of a target.
Interstellar,Christopher Nolan,Sci-Fi,"In a future where Earth is becoming uninhabitable due to agricultural blights, a team of explorers travels through a wormhole in space to find a new home for humanity."
Memento,Christopher Nolan,Thriller,"A man suffering from short-term memory loss attempts to track down his wife's murderer using a system of Polaroid photographs, handwritten notes, and body tattoos."
The Dark Knight,Christopher Nolan,Action,"Batman faces his ultimate psychological test against the Joker, an anarchic criminal mastermind determined to plunge Gotham City into total chaos and dismantle its moral fabric."
The Prestige,Christopher Nolan,Drama,"Following a tragic accident, two stage magicians in 19th-century London engage in an obsessive battle of one-upmanship, sacrificing everything to create the ultimate illusion."
Tenet,Christopher Nolan,Sci-Fi,"Armed with only one word and fighting for the survival of the entire world, a secret agent journeys through a twilight world of international espionage on a mission that unfolds beyond real time."
Dunkirk,Christopher Nolan,War,"Allied soldiers from Belgium, the British Empire, and France are surrounded by the German Army and evacuated during a fierce, multi-perspective battle in World War II."
Oppenheimer,Christopher Nolan,Drama,A historical biographical feature tracking the life of theoretical physicist J. Robert Oppenheimer as he leads the Manhattan Project to develop the first nuclear weapons.
The Dark Knight Rises,Christopher Nolan,Action,"Eight years after the Joker's reign of anarchy, Batman is forced from his exile by a brutal guerrilla terrorist named Bane, who threatens to destroy Gotham City entirely."
Batman Begins,Christopher Nolan,Action,"After training with his mentor, a young Bruce Wayne begins his war on crime to liberate the corrupted Gotham City from the League of Shadows."
Following,Christopher Nolan,Thriller,A young writer who follows strangers around the streets of London for inspiration gets drawn into a dark criminal underworld when he meets a professional burglar.
Insomnia,Christopher Nolan,Mystery,Two Los Angeles homicide detectives are dispatched to a remote Alaskan town to investigate the methodical murder of a local teenage girl under the perpetual daylight.
The Grand Budapest Hotel,Wes Anderson,Comedy,"The adventures of Gustave H, a legendary concierge at a famous European resort between the world wars, and Zero Moustafa, the lobby boy who becomes his most trusted friend."
Moonrise Kingdom,Wes Anderson,Comedy,"On a New England island in the 1960s, an orphaned boy scout and a rebellious girl forge a secret love pact and flee into the wilderness, prompting a bizarre community-wide search operation."
The Royal Tenenbaums,Wes Anderson,Comedy,"An eccentric, estranged patriarch schemes to win back the affections of his three highly dysfunctional, former child-prodigy children by faking a terminal illness."
The Life Aquatic with Steve Zissou,Wes Anderson,Adventure,An eccentric oceanographer assembles a motley crew to hunt down the mysterious jaguar shark that killed his partner during their last documentary expedition.
The Darjeeling Limited,Wes Anderson,Comedy,"A year after their father's funeral, three estranged brothers reunite for a spiritual train journey across India in an attempt to mend their broken family bonds."
Fantastic Mr. Fox,Wes Anderson,Animation,"An urbane fox cannot resist returning to his wild, farm-raiding ways, forcing three brutal local human farmers to launch a massive combined operation to hunt him down."
Isle of Dogs,Wes Anderson,Animation,"Set in a dystopian future Japan, a young boy searches for his lost dog after the entire canine species is banished to a desolate, garbage-filled quarantine island."
The French Dispatch,Wes Anderson,Drama,"A love letter to journalists set in an outpost of an American newspaper in a fictional 20th-century French city, bringing a collection of stories to life."
Asteroid City,Wes Anderson,Comedy,The itinerary of a Junior Stargazer convention in a fictional desert town is spectacularly disrupted by world-changing extraterrestrial events.
Bottle Rocket,Wes Anderson,Crime,Three young friends with absolutely no criminal experience plan and attempt an incredibly elaborate and messy string of small-time suburban robberies.
Rushmore,Wes Anderson,Comedy,"An eccentric, overachieving prep school student strikes up a friendship with a wealthy industrialist, only for both of them to fall in love with a cross-grade elementary school teacher."
Goodfellas,Martin Scorsese,Crime,"The rise and fall of Henry Hill and his life within the Italian-American mafia, from his teenage infatuation with the criminal lifestyle to his eventual descent as a protected state informant."
Taxi Driver,Martin Scorsese,Crime,"A mentally unstable war veteran works as a nighttime taxi driver in New York City, where the perceived moral decay fuels his urge to commit violent, vigilante action."
The Departed,Martin Scorsese,Thriller,An undercover cop and a mole in the police force attempt to identify each other while infiltrating an Irish gang in South Boston.
The Wolf of Wall Street,Martin Scorsese,Comedy,"Based on the true story of Jordan Belfort, tracking his rise to a wealthy stockbroker engaging in massive corporate fraud and corruption on Wall Street."
Casino,Martin Scorsese,Crime,"A gambling mastermind is asked by the mob to oversee casino operations in Las Vegas, but his empire is threatened by a volatile enforcer and a manipulative wife."
